"","Genome","Response"
"1","2562617177",0
"2","2932994958",0
"3","2517572146",0
"4","2651870361",0
"5","2510461053",0
"6","2913345020",0
"7","2588253727",0
"8","2784746776",0
"9","2861688124",0
"10","2728368908",0
"11","2596583685",0
"12","2828617574",0
"13","2654587740",0
"14","2690315663",0
"15","2512047040",0
"16","648028002",0
"17","2693429901",0
"18","2695420966",0
"19","651324002",0
"20","2848483936",0
"21","2619619113",0
"22","2775506885",0
"23","2556921630",0
"24","637000158",0
"25","2545824542",0
"26","2840653046",0
"27","2826166747",0
"28","2558860159",0
"29","2880936730",0
"30","2534682370",0
"31","2808606751",0
"32","2619619112",0
"33","2548877170",0
"34","2599185234",0
"35","646311901",0
"36","2927569001",0
"37","648028003",0
"38","644736322",0
"39","2681812815",0
"40","2882000052",0
"41","2681813050",0
"42","2751185777",0
"43","2811995294",0
"44","2824077352",0
"45","643348501",0
"46","2510461056",0
"47","643692001",0
"48","2582581264",0
"49","2556921625",0
"50","2784746772",0
"51","639633001",0
"52","2636416192",0
"53","2818991434",0
"54","2671180230",0
"55","2690315601",0
"56","647533101",0
"57","2565956683",0
"58","2565956701",0
"59","2565956640",0
"60","2565956688",0
"61","2671180229",0
"62","2565956682",0
"63","2657245517",0
"64","2547132303",0
"65","2767802243",0
"66","2565956665",0
"67","2791355506",0
"68","2767802242",0
"69","2690315737",0
"70","2565956662",0
"71","2648501117",0
"72","2791355507",0
"73","2565956694",0
"74","2534682023",0
"75","2916672942",0
"76","2565956705",0
"77","2565956692",0
"78","2582581441",0
"79","2881054222",0
"80","2627854244",0
"81","2663763131",0
"82","2537561556",0
"83","2534682021",0
"84","2956887615",0
"85","2671180219",0
"86","2675903034",0
"87","2724679174",0
"88","2896889116",0
"89","2767802241",0
"90","2547132300",0
"91","2671180220",0
"92","2565956686",0
"93","2582580904",0
"94","2671180619",0
"95","2663763040",0
"96","2675903032",0
"97","2547132305",0
"98","2791355509",0
"99","2537561555",0
"100","2791355508",0
"101","2724679206",0
"102","2565956687",0
"103","2671180233",0
"104","2916665939",0
"105","2547132307",0
"106","2565956681",0
"107","2565956690",0
"108","2896873532",0
"109","2814123059",0
"110","2660238584",0
"111","2565956702",0
"112","2885727573",0
"113","2700989278",0
"114","2565956698",0
"115","2565956655",0
"116","2565956684",0
"117","2565956661",0
"118","2923033099",0
"119","2767802240",0
"120","2816332138",0
"121","2585427525",0
"122","2615840661",0
"123","2563366745",0
"124","2808606643",0
"125","648276605",0
"126","640753001",0
"127","2597489880",0
"128","649989900",0
"129","2585427650",0
